path,category
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/214Sounds of things_Explosion_Gunshot_ gunfire_Machine gun-5173499098300416.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/212Sounds of things_Explosion_Gunshot_ gunfire_Cap gun-6016742643990528.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/211Sounds of things_Explosion_Gunshot_ gunfire_Artillery fire-6207051034263552.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/213Sounds of things_Explosion_Gunshot_ gunfire_Fusillade-5876005155635200.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/211Sounds of things_Explosion_Gunshot_ gunfire_Artillery fire-4854573080510464.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/211Sounds of things_Explosion_Gunshot_ gunfire_Artillery fire-4844312940511232.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/214Sounds of things_Explosion_Gunshot_ gunfire_Machine gun-5642086204309504.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/213Sounds of things_Explosion_Gunshot_ gunfire_Fusillade-4869738073161728.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/211Sounds of things_Explosion_Gunshot_ gunfire_Artillery fire-6406513878892544.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/213Sounds of things_Explosion_Gunshot_ gunfire_Fusillade-6261075817267200.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/214Sounds of things_Explosion_Gunshot_ gunfire_Machine gun-5719238044024832.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/213Sounds of things_Explosion_Gunshot_ gunfire_Fusillade-5601769077866496.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/211Sounds of things_Explosion_Gunshot_ gunfire_Artillery fire-5595314815762432.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/212Sounds of things_Explosion_Gunshot_ gunfire_Cap gun-6217622827827200.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/212Sounds of things_Explosion_Gunshot_ gunfire_Cap gun-5068292263772160.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/213Sounds of things_Explosion_Gunshot_ gunfire_Fusillade-4727291187822592.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/213Sounds of things_Explosion_Gunshot_ gunfire_Fusillade-5113375461736448.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/213Sounds of things_Explosion_Gunshot_ gunfire_Fusillade-5161872890265600.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/212Sounds of things_Explosion_Gunshot_ gunfire_Cap gun-6317768311832576.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/214Sounds of things_Explosion_Gunshot_ gunfire_Machine gun-5669798138609664.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/212Sounds of things_Explosion_Gunshot_ gunfire_Cap gun-5499733539815424.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/213Sounds of things_Explosion_Gunshot_ gunfire_Fusillade-6033306990673920.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/211Sounds of things_Explosion_Gunshot_ gunfire_Artillery fire-5422314069950464.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/214Sounds of things_Explosion_Gunshot_ gunfire_Machine gun-4854573080510464.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/214Sounds of things_Explosion_Gunshot_ gunfire_Machine gun-5654153720233984.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/211Sounds of things_Explosion_Gunshot_ gunfire_Artillery fire-5703128158568448.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/214Sounds of things_Explosion_Gunshot_ gunfire_Machine gun-6331108480253952.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/212Sounds of things_Explosion_Gunshot_ gunfire_Cap gun-6309771351162880.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/213Sounds of things_Explosion_Gunshot_ gunfire_Fusillade-5823355030601728.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/213Sounds of things_Explosion_Gunshot_ gunfire_Fusillade-6721916949757952.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/212Sounds of things_Explosion_Gunshot_ gunfire_Cap gun-6571814822084608.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/213Sounds of things_Explosion_Gunshot_ gunfire_Fusillade-5944304530882560.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/213Sounds of things_Explosion_Gunshot_ gunfire_Fusillade-4617966284963840.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/213Sounds of things_Explosion_Gunshot_ gunfire_Fusillade-6239932767010816.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/212Sounds of things_Explosion_Gunshot_ gunfire_Cap gun-6217781473181696.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/214Sounds of things_Explosion_Gunshot_ gunfire_Machine gun-6012758524952576.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/211Sounds of things_Explosion_Gunshot_ gunfire_Artillery fire-6433015437721600.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/211Sounds of things_Explosion_Gunshot_ gunfire_Artillery fire-5238247609335808.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/212Sounds of things_Explosion_Gunshot_ gunfire_Cap gun-5632242407702528.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/214Sounds of things_Explosion_Gunshot_ gunfire_Machine gun-4901886977114112.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/213Sounds of things_Explosion_Gunshot_ gunfire_Fusillade-6289861761826816.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/214Sounds of things_Explosion_Gunshot_ gunfire_Machine gun-5699257587728384.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/214Sounds of things_Explosion_Gunshot_ gunfire_Machine gun-6533106160893952.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/211Sounds of things_Explosion_Gunshot_ gunfire_Artillery fire-4895741952655360.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/212Sounds of things_Explosion_Gunshot_ gunfire_Cap gun-5378347295047680.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/214Sounds of things_Explosion_Gunshot_ gunfire_Machine gun-6269921033977856.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/211Sounds of things_Explosion_Gunshot_ gunfire_Artillery fire-5648943388033024.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/214Sounds of things_Explosion_Gunshot_ gunfire_Machine gun-6254370568011776.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/213Sounds of things_Explosion_Gunshot_ gunfire_Fusillade-5612604206612480.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/214Sounds of things_Explosion_Gunshot_ gunfire_Machine gun-4890663288045568.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/211Sounds of things_Explosion_Gunshot_ gunfire_Artillery fire-5687280266117120.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/212Sounds of things_Explosion_Gunshot_ gunfire_Cap gun-6493816605376512.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/213Sounds of things_Explosion_Gunshot_ gunfire_Fusillade-6269968547053568.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/211Sounds of things_Explosion_Gunshot_ gunfire_Artillery fire-5688895442255872.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/213Sounds of things_Explosion_Gunshot_ gunfire_Fusillade-5237609806692352.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/213Sounds of things_Explosion_Gunshot_ gunfire_Fusillade-5336318624137216.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/214Sounds of things_Explosion_Gunshot_ gunfire_Machine gun-6307683728621568.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/214Sounds of things_Explosion_Gunshot_ gunfire_Machine gun-6226261751889920.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/212Sounds of things_Explosion_Gunshot_ gunfire_Cap gun-6438664930328576.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/212Sounds of things_Explosion_Gunshot_ gunfire_Cap gun-5684793748488192.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/212Sounds of things_Explosion_Gunshot_ gunfire_Cap gun-5356014270414848.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/211Sounds of things_Explosion_Gunshot_ gunfire_Artillery fire-5165807348744192.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/211Sounds of things_Explosion_Gunshot_ gunfire_Artillery fire-5681717746597888.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/211Sounds of things_Explosion_Gunshot_ gunfire_Artillery fire-5334970541277184.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/211Sounds of things_Explosion_Gunshot_ gunfire_Artillery fire-5119667588825088.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/214Sounds of things_Explosion_Gunshot_ gunfire_Machine gun-6336268749242368.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/213Sounds of things_Explosion_Gunshot_ gunfire_Fusillade-6549003713904640.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/213Sounds of things_Explosion_Gunshot_ gunfire_Fusillade-6700589215907840.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/211Sounds of things_Explosion_Gunshot_ gunfire_Artillery fire-5395107599613952.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/214Sounds of things_Explosion_Gunshot_ gunfire_Machine gun-5663284820705280.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/214Sounds of things_Explosion_Gunshot_ gunfire_Machine gun-4898535560445952.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/211Sounds of things_Explosion_Gunshot_ gunfire_Artillery fire-5701867585667072.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/212Sounds of things_Explosion_Gunshot_ gunfire_Cap gun-5430032931487744.wav,GunShot
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/192Sounds of things_Domestic sounds_ home sounds_Typing_Computer keyboard-5709068098338816.wav,Keyboard
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/192Sounds of things_Domestic sounds_ home sounds_Typing_Computer keyboard-6036769539620864.wav,Keyboard
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/193Sounds of things_Domestic sounds_ home sounds_Typing_Typewriter-5704980631650304.wav,Keyboard
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/192Sounds of things_Domestic sounds_ home sounds_Typing_Computer keyboard-5763263606292480.wav,Keyboard
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/193Sounds of things_Domestic sounds_ home sounds_Typing_Typewriter-5674693596020736.wav,Keyboard
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/193Sounds of things_Domestic sounds_ home sounds_Typing_Typewriter-5109034055106560.wav,Keyboard
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/193Sounds of things_Domestic sounds_ home sounds_Typing_Typewriter-6401413605228544.wav,Keyboard
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/193Sounds of things_Domestic sounds_ home sounds_Typing_Typewriter-4897405715611648.wav,Keyboard
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/192Sounds of things_Domestic sounds_ home sounds_Typing_Computer keyboard-6283097188335616.wav,Keyboard
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/192Sounds of things_Domestic sounds_ home sounds_Typing_Computer keyboard-5189322563125248.wav,Keyboard
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/192Sounds of things_Domestic sounds_ home sounds_Typing_Computer keyboard-6546521222807552.wav,Keyboard
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/193Sounds of things_Domestic sounds_ home sounds_Typing_Typewriter-6033747493257216.wav,Keyboard
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/193Sounds of things_Domestic sounds_ home sounds_Typing_Typewriter-5576251603419136.wav,Keyboard
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/193Sounds of things_Domestic sounds_ home sounds_Typing_Typewriter-5072713127297024.wav,Keyboard
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/193Sounds of things_Domestic sounds_ home sounds_Typing_Typewriter-5650665401483264.wav,Keyboard
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/192Sounds of things_Domestic sounds_ home sounds_Typing_Computer keyboard-5743114304094208.wav,Keyboard
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/192Sounds of things_Domestic sounds_ home sounds_Typing_Computer keyboard-5613055446614016.wav,Keyboard
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/192Sounds of things_Domestic sounds_ home sounds_Typing_Computer keyboard-5783643897200640.wav,Keyboard
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/193Sounds of things_Domestic sounds_ home sounds_Typing_Typewriter-6308530105614336.wav,Keyboard
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/193Sounds of things_Domestic sounds_ home sounds_Typing_Typewriter-5787357835952128.wav,Keyboard
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/192Sounds of things_Domestic sounds_ home sounds_Typing_Computer keyboard-5746055551385600.wav,Keyboard
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/193Sounds of things_Domestic sounds_ home sounds_Typing_Typewriter-5363282428821504.wav,Keyboard
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/192Sounds of things_Domestic sounds_ home sounds_Typing_Computer keyboard-4859968230522880.wav,Keyboard
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/193Sounds of things_Domestic sounds_ home sounds_Typing_Typewriter-5760820306771968.wav,Keyboard
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/192Sounds of things_Domestic sounds_ home sounds_Typing_Computer keyboard-6519692709593088.wav,Keyboard
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/193Sounds of things_Domestic sounds_ home sounds_Typing_Typewriter-6135948119113728.wav,Keyboard
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/193Sounds of things_Domestic sounds_ home sounds_Typing_Typewriter-5674534950666240.wav,Keyboard
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/192Sounds of things_Domestic sounds_ home sounds_Typing_Computer keyboard-5112317826039808.wav,Keyboard
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/193Sounds of things_Domestic sounds_ home sounds_Typing_Typewriter-6281589923250176.wav,Keyboard
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/192Sounds of things_Domestic sounds_ home sounds_Typing_Computer keyboard-5620006851182592.wav,Keyboard
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/192Sounds of things_Domestic sounds_ home sounds_Typing_Computer keyboard-5632296363229184.wav,Keyboard
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/193Sounds of things_Domestic sounds_ home sounds_Typing_Typewriter-4857442655535104.wav,Keyboard
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/192Sounds of things_Domestic sounds_ home sounds_Typing_Computer keyboard-6040006065913856.wav,Keyboard
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/193Sounds of things_Domestic sounds_ home sounds_Typing_Typewriter-5659118702428160.wav,Keyboard
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/192Sounds of things_Domestic sounds_ home sounds_Typing_Computer keyboard-5984892777136128.wav,Keyboard
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/265Sounds of things_Vehicle_Motor vehicle (road)_Motorcycle-5641462360309760.wav,MovingMotorVehicle
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/265Sounds of things_Vehicle_Motor vehicle (road)_Motorcycle-4821888916258816.wav,MovingMotorVehicle
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/265Sounds of things_Vehicle_Motor vehicle (road)_Motorcycle-4804778034987008.wav,MovingMotorVehicle
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/257Sounds of things_Vehicle_Motor vehicle (road)_Car_Car passing by-6215862428106752.wav,MovingMotorVehicle
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/265Sounds of things_Vehicle_Motor vehicle (road)_Motorcycle-6558160584179712.wav,MovingMotorVehicle
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/265Sounds of things_Vehicle_Motor vehicle (road)_Motorcycle-6282187997446144.wav,MovingMotorVehicle
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/257Sounds of things_Vehicle_Motor vehicle (road)_Car_Car passing by-6330587715469312.wav,MovingMotorVehicle
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/265Sounds of things_Vehicle_Motor vehicle (road)_Motorcycle-6279337481338880.wav,MovingMotorVehicle
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/257Sounds of things_Vehicle_Motor vehicle (road)_Car_Car passing by-6241041673879552.wav,MovingMotorVehicle
VocalImitationSet_v1.1.3/VocalImitationSet/vocal_imitations/included/257Sounds of things_Vehicle_Motor vehicle (road)_Car_Car passing by-6018067104530432.wav,MovingMotorVehicle
